cue_stim_type,cue_orientation,cue_position,cue_time,cue_type,stim_position,expected_response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,exo_trials.thisRepN,exo_trials.thisTrialN,exo_trials.thisN,exo_trials.thisIndex,intro_text.started,intro_text.stopped,intro_resp.keys,intro_resp.rt,intro_resp.started,intro_resp.stopped,key_resp.keys,key_resp.started,key_resp.stopped,endo_right.started,endo_right.stopped,endo_left.started,endo_left.stopped,fixation_cross.started,fixation_cross.stopped,endo_cue.started,endo_cue.stopped,endo_stimulus.started,endo_stimulus.stopped,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,exo_right.started,exo_right.stopped,exo_left.started,exo_left.stopped,fixation.started,fixation.stopped,exo_cue.started,exo_cue.stopped,exo_stimulus.started,exo_stimulus.stopped,outro_text.started,outro_text.stopped,participant,date,expName,psychopyVersion,frameRate,
endo,90,"(0.035, 0)",0.993881262689159,correct,"(0.4, 0)",l,0,21,21,27,,,,,,,,,,,None,323.2130189000163,None,320.2428773000138,327.23666669998784,320.2428773000138,327.23666669998784,320.2428773000138,327.23666669998784,322.7146396000171,323.4703662999673,323.2130189000163,323.31499729992356,,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.9206860483593494,incorrect,"(0.4, 0)",l,0,22,22,38,,,,,,,,,,,None,333.1148550999351,330.2147559999721,330.2147559999721,337.2116672999691,330.2147559999721,337.2116672999691,330.2147559999721,337.2116672999691,332.617756200023,333.369609599933,333.1148550999351,333.21196240000427,,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.7043933979083875,incorrect,"(0.4, 0)",l,0,23,23,39,,,,,,,,,,,None,342.8063173999544,340.1264333999716,340.1264333999716,347.1273677999852,340.1264333999716,347.1273677999852,340.1264333999716,347.1273677999852,342.3086792000104,343.05376229994,342.8063173999544,342.9082175999647,,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.7669666969931148,correct,"(-0.4, 0)",a,0,24,24,9,,,,,,,,,,,a,352.55166769993957,349.8111578000244,349.8111578000244,None,349.8111578000244,None,349.8111578000244,None,352.0534950000001,352.8047043000115,352.55166769993957,352.6546528999461,0.3023665000218898,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.38360493617076563,incorrect,"(-0.4, 0)",a,0,25,25,13,,,,,,,,,,,None,355.2301331999479,None,352.87247960001696,359.8681296999566,352.87247960001696,359.8681296999566,352.87247960001696,359.8681296999566,354.73409569996875,355.4849087999901,355.2301331999479,355.3290743000107,,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.9828471876315273,incorrect,"(0.4, 0)",l,0,26,26,30,,,,,,,,,,,None,365.19518429995514,362.2317118999781,362.2317118999781,369.2356204999378,362.2317118999781,369.2356204999378,362.2317118999781,369.2356204999378,364.6926925999578,365.44434159994125,365.19518429995514,365.30149260000326,,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.42702221127828477,correct,"(-0.4, 0)",a,0,27,27,6,,,,,,,,,,,None,374.6022767999675,372.1943000999745,372.1943000999745,379.18947270000353,372.1943000999745,379.18947270000353,372.1943000999745,379.18947270000353,374.09557769994717,374.8413313999772,374.6022767999675,374.7053759000264,,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.6144709735635417,correct,"(0.4, 0)",l,0,28,28,29,,,,,,,,,,,l,384.19372149999253,381.6003268000204,381.6003268000204,None,381.6003268000204,None,381.6003268000204,None,383.69646439992357,384.45006179995835,384.19372149999253,384.2918814999284,0.5056971999583766,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.02396326924047798,correct,"(-0.4, 0)",a,0,29,29,7,,,,,,,,,,,a,386.7201578000095,None,384.71540139999706,None,384.71540139999706,None,384.71540139999706,None,386.21675020002294,386.9678410999477,386.7201578000095,386.82359479996376,0.4306322999764234,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.3939797644424977,incorrect,"(-0.4, 0)",a,0,30,30,15,,,,,,,,,,,None,389.54412199999206,None,387.17025009996723,394.16756730002817,387.17025009996723,394.16756730002817,387.17025009996723,394.16756730002817,389.0478746999288,389.8048216999741,389.54412199999206,389.65002019994427,,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
